price,crime_rate,resid_area,air_qual,room_num,age,dist1,dist2,dist3,dist4,teachers,poor_prop,n_hos_beds,n_hot_rooms,rainfall,parks,airport,waterbody,bus_ter
24,0.006300113,32.31,0.538,6.575,65.2,4.35,3.81,4.18,4.01,24.7,4.98,5.48,11.192,23,0.049347306,YES,River,YES
21.6,0.026943735,37.07,0.469,6.421,78.9,4.99,4.7,5.12,5.06,22.2,9.14,7.332,12.1728,42,0.046145633,NO,Lake,YES
34.7,0.026924267,37.07,0.469,7.185,61.1,5.03,4.86,5.01,4.97,22.2,4.03,7.394,101.12,38,0.045763966,NO,None,YES
33.4,0.03185713,32.18,0.458,6.998,45.8,6.21,5.93,6.16,5.96,21.3,2.94,9.268,11.2672,45,0.047150598,YES,Lake,YES
36.2,0.066770404,32.18,0.458,7.147,54.2,6.16,5.86,6.37,5.86,21.3,5.33,8.824,11.2896,55,0.039474005,NO,Lake,YES
28.7,0.029413161,32.18,0.458,6.43,58.7,6.22,5.8,6.23,5.99,21.3,5.21,7.174,14.2296,53,0.045909647,YES,None,YES
22.9,0.084607657,37.87,0.524,6.012,66.6,5.87,5.47,5.7,5.2,24.8,12.43,6.958,12.1832,41,0.052169908,YES,River,YES
22.1,0.135011547,37.87,0.524,6.172,96.1,6.04,5.85,6.25,5.66,24.8,19.15,5.842,12.1768,56,0.057074901,NO,Lake,YES
16.5,0.191644628,37.87,0.524,5.631,100,6.18,5.85,6.3,6,24.8,29.93,5.93,12.132,55,0.056302495,YES,None,YES
18.9,0.157037936,37.87,0.524,6.004,85.9,6.67,6.55,6.85,6.29,24.8,17.1,9.478,14.1512,45,0.050727252,YES,River,YES
15,0.202851044,37.87,0.524,6.377,94.3,6.65,6.31,6.55,5.88,24.8,20.45,6,11.12,29,0.057775258,NO,Lake,YES
18.9,0.111067202,37.87,0.524,6.009,82.9,6.27,5.93,6.51,6.19,24.8,13.27,9.278,13.1512,23,0.055236508,NO,Lake and River,YES
21.7,0.089639587,37.87,0.524,5.889,39,5.76,5.14,5.58,5.33,24.8,15.71,5.534,10.1736,57,0.057423248,YES,Lake and River,YES
20.4,0.488432765,38.14,0.538,5.949,61.8,4.72,4.59,4.93,4.59,19,8.26,5.908,14.1632,39,0.053463955,YES,None,YES
18.2,0.493451565,38.14,0.538,6.096,84.5,4.6,4.2,4.48,4.58,19,10.26,6.964,13.1456,49,0.059882129,NO,None,YES
19.9,0.486977504,38.14,0.538,5.834,56.5,4.6,4.35,4.72,4.32,19,8.47,8.498,14.1592,28,0.059750758,YES,River,YES
23.1,0.719755031,38.14,0.538,5.935,29.3,4.66,4.39,4.52,4.43,19,6.58,5.462,10.1848,46,0.054698587,NO,None,YES
17.5,0.578970135,38.14,0.538,5.99,81.7,4.56,4.15,4.36,3.97,19,14.67,5.45,11.14,56,0.05478547,NO,Lake,YES
20.2,0.589291088,38.14,0.538,5.456,36.6,3.8,3.52,3.86,4,19,11.69,8.504,12.1616,41,0.054250839,YES,Lake and River,YES
18.2,0.545690711,38.14,0.538,5.727,69.5,3.98,3.65,4,3.57,19,11.28,8.564,12.1456,27,0.057770199,NO,Lake and River,YES
13.6,0.811725455,38.14,0.538,5.57,98.1,3.93,3.59,4.09,3.58,19,21.02,8.272,15.1088,44,0.048317527,YES,Lake and River,YES
19.6,0.616287734,38.14,0.538,5.965,89.2,4.11,3.72,4.34,3.88,19,13.83,9.192,14.1568,23,0.054040555,YES,None,YES
15.2,0.803108596,38.14,0.538,6.142,91.7,4.18,3.98,4.31,3.45,19,18.72,5.804,14.1216,48,0.057413663,YES,River,YES
14.5,0.687345383,38.14,0.538,5.813,100,4.35,3.98,4.13,3.92,19,19.88,7.49,13.116,29,0.052609397,YES,Lake,YES
15.6,0.559764348,38.14,0.538,5.924,94.1,4.69,4.07,4.72,4.12,19,16.3,8.212,13.1248,27,0.050109252,YES,Lake,YES
13.9,0.610059007,38.14,0.538,5.599,85.7,4.69,4.33,4.72,4.08,19,16.51,9.378,13.1112,35,0.051585152,YES,River,YES
16.6,0.513966685,38.14,0.538,5.813,90.3,4.94,4.59,4.71,4.49,19,14.81,9.732,12.1328,59,0.04753336,NO,Lake,YES
14.8,0.670783978,38.14,0.538,6.047,88.8,4.5,4.4,4.6,4.31,19,17.28,8.696,13.1184,20,0.048746294,YES,Lake,YES
18.4,0.572667387,38.14,0.538,6.495,94.4,4.57,4.35,4.69,4.21,19,12.8,5.968,15.1472,35,0.054327375,YES,River,YES
21,0.694371431,38.14,0.538,6.674,87.3,4.53,3.94,4.36,4.13,19,11.98,9.02,12.168,50,0.048769785,NO,River,YES
12.7,0.756502189,38.14,0.538,5.713,94.1,4.52,4.18,4.37,3.86,19,22.6,9.854,12.1016,34,0.058542025,NO,Lake,YES
14.5,0.856421824,38.14,0.538,6.072,100,4.39,4.06,4.48,3.77,19,13.04,9.29,12.116,23,0.052254284,YES,None,YES
13.2,0.870452008,38.14,0.538,5.95,82,4.01,3.86,4.31,3.79,19,27.71,8.764,14.1056,25,0.053285159,NO,River,YES
13.1,0.766267522,38.14,0.538,5.701,95,3.8,3.67,3.96,3.72,19,18.35,8.362,15.1048,25,0.057017179,YES,None,YES
13.5,0.960430098,38.14,0.538,6.096,96.9,4.07,3.66,3.87,3.44,19,20.34,9.67,11.108,40,0.049603305,YES,None,YES
18.9,0.062195153,35.96,0.499,5.933,68.2,3.69,3.27,3.54,2.94,20.8,9.68,9.478,11.1512,43,0.052911735,YES,River,YES
20,0.092980195,35.96,0.499,5.841,61.4,3.39,3.28,3.62,3.22,20.8,11.41,7.5,15.16,39,0.045356817,NO,None,YES
21,0.077090662,35.96,0.499,5.85,41.5,3.98,3.75,4.12,3.89,20.8,8.77,8.12,10.168,21,0.050974724,YES,River,YES
24.2,0.1613107,35.96,0.499,5.966,30.2,4.15,3.66,4.04,3.54,20.8,10.13,8.184,10.1936,21,0.048389259,YES,River,YES
30.8,0.02725518,32.95,0.428,6.595,21.8,5.65,5.35,5.55,5.05,21.7,4.32,6.916,12.2464,49,0.045051199,YES,River,YES
34.9,0.033038179,32.95,0.428,7.024,15.8,5.63,5.31,5.53,5.14,21.7,1.98,6.198,15.2792,20,0.042761796,YES,River,YES
26.6,0.119949576,36.91,0.448,6.77,2.9,5.77,5.72,6,5.4,22.1,4.84,7.732,13.2128,30,0.04943941,NO,Lake and River,YES
25.3,0.132343187,36.91,0.448,6.169,6.6,5.93,5.46,5.88,5.62,22.1,5.81,8.106,15.2024,52,0.041829995,NO,River,YES
24.7,0.147868129,36.91,0.448,6.211,6.5,6.04,5.66,5.84,5.34,22.1,7.44,6.094,15.1976,56,0.044818593,YES,River,YES
21.2,0.115727591,36.91,0.448,6.069,40,5.81,5.51,5.9,5.67,22.1,9.55,9.024,12.1696,53,0.039936942,NO,River,YES
19.3,0.158216688,36.91,0.448,5.682,33.8,5.23,4.95,5.21,5.02,22.1,10.21,8.086,11.1544,21,0.044495948,NO,River,YES
20,0.172574205,36.91,0.448,5.786,33.3,5.25,5,5.4,4.75,22.1,14.15,9.3,12.16,39,0.045462478,YES,Lake,YES
16.6,0.206420497,36.91,0.448,6.03,85.5,5.83,5.64,5.75,5.54,22.1,18.8,5.332,12.1328,44,0.052566062,YES,River,YES
14.4,0.226234769,36.91,0.448,5.399,95.3,5.98,5.68,5.96,5.86,22.1,30.81,7.088,14.1152,34,0.042666167,NO,None,YES
19.4,0.198662316,36.91,0.448,5.602,62,6.11,5.9,6.3,6.04,22.1,16.2,5.988,13.1552,45,0.050609653,NO,Lake and River,YES
19.7,0.085011879,35.64,0.439,5.963,45.7,7.08,6.55,7,6.63,23.2,13.45,,11.1576,21,0.040388562,YES,River,YES
20.5,0.042455859,35.64,0.439,6.115,63,7.04,6.74,7.08,6.41,23.2,9.43,7.01,11.164,30,0.047270246,YES,Lake,YES
25,0.052212871,35.64,0.439,6.511,21.1,7.02,6.76,7.12,6.37,23.2,5.28,9.9,14.2,56,0.046151955,NO,River,YES
23.4,0.048609195,35.64,0.439,5.998,21.4,6.89,6.52,6.87,6.98,23.2,8.43,9.168,11.1872,41,0.041560598,NO,River,YES
18.9,0.01350835,34,0.41,5.888,47.6,7.4,7.27,7.6,7,18.9,14.8,8.678,15.1512,55,0.038684066,YES,None,YES
35.4,0.013024808,31.22,0.403,7.249,21.9,8.9,8.41,8.79,8.69,22.1,4.81,7.508,13.2832,50,0.047984816,YES,River,YES
24.7,0.020341698,30.74,0.41,6.383,35.7,9.32,8.93,9.43,9.07,22.7,5.77,5.794,15.1976,22,0.038214107,YES,Lake,YES
31.6,0.014218437,31.32,0.411,6.816,40.5,8.63,8.28,8.37,8.02,24.9,3.95,7.432,15.2528,45,0.042595273,YES,Lake,YES
23.3,0.14362404,35.13,0.453,6.145,29.2,7.98,7.77,8.07,7.44,20.3,6.86,7.866,14.1864,22,0.04378357,NO,None,YES
19.6,0.098287561,35.13,0.453,5.927,47.2,7.26,6.68,7.1,6.68,20.3,9.22,6.192,14.1568,20,0.045900171,YES,None,YES
18.7,0.139170463,35.13,0.453,5.741,66.2,7.33,7.16,7.53,6.88,20.3,13.15,7.974,11.1496,30,0.043822595,NO,River,YES
16,0.15846422,35.13,0.453,5.966,93.4,6.84,6.67,7.08,6.69,20.3,14.44,6.22,15.128,48,0.038611012,NO,River,YES
22.2,0.104603229,35.13,0.453,6.456,67.8,7.55,7.08,7.43,6.84,20.3,6.73,5.844,10.1776,56,0.043331952,YES,None,YES
25,0.119115481,35.13,0.453,6.762,43.4,8.23,7.69,8.1,7.91,20.3,9.5,5.9,13.2,28,0.046951062,YES,Lake and River,YES
33,0.01932212,31.38,0.4161,7.104,59.5,9.44,9.09,9.37,8.99,21.4,8.05,8.26,10.264,30,0.038988656,YES,Lake and River,YES
23.5,0.035212692,33.37,0.398,6.29,17.8,6.62,6.43,6.85,6.55,23.9,4.67,9.47,12.188,20,0.037495888,NO,River,YES
19.4,0.04285832,33.37,0.398,5.787,31.1,6.7,6.44,6.84,6.46,23.9,10.24,8.988,11.1552,44,0.047875577,NO,Lake and River,YES
22,0.056276358,36.07,0.409,5.878,21.4,6.64,6.4,6.52,6.43,21.1,8.1,7.14,13.176,29,0.040528069,YES,River,YES
17.4,0.127108309,36.07,0.409,5.594,36.8,6.51,6.17,6.54,6.77,21.1,13.09,8.848,15.1392,40,0.048420864,NO,River,YES
20.9,0.120587987,36.07,0.409,5.885,33,6.55,6.39,6.6,6.46,21.1,8.79,8.318,11.1672,56,0.038387608,NO,Lake,YES
24.2,0.08458009,40.81,0.413,6.417,6.6,5.52,5.07,5.59,4.96,20.8,6.72,9.784,14.1936,38,0.040917773,YES,River,YES
21.7,0.147350468,40.81,0.413,5.961,17.5,5.44,5.2,5.42,5.09,20.8,9.88,10.034,13.1736,46,0.039985354,NO,Lake and River,YES
22.8,0.087681153,40.81,0.413,6.065,7.8,5.46,4.96,5.61,5.12,20.8,5.52,5.856,10.1824,20,0.036089025,NO,River,YES
23.4,0.178472492,40.81,0.413,6.245,6.2,5.36,5.23,5.5,5.06,20.8,7.54,5.968,12.1872,45,0.043322646,YES,Lake,YES
24.1,0.075997614,42.83,0.437,6.273,6,4.54,3.95,4.57,3.95,21.3,6.78,7.882,10.1928,40,0.038894328,NO,River,YES
